L.P.;Nazwa;Materiał;Średnica d1;Średnica d2;Średnica d3;Połączenie;
918.;Kołnierz;PE;d63;;;Elektrooporowe;
919.;Kołnierz;PE;d75;;;Elektrooporowe;
920.;Kołnierz;PE;d90;;;Elektrooporowe;
921.;Kołnierz;PE;d110;;;Elektrooporowe;
922.;Złączka węża;PE;d12;d12;;Elektrooporowe;
923.;Złączka węża;PE;d16;d16;;Elektrooporowe;
924.;Złączka węża;PE;d20;d20;;Elektrooporowe;
925.;Złączka węża;PE;d25;d25;;Elektrooporowe;
926.;Złączka węża;PE;d32;d32;;Elektrooporowe;
927.;Złączka węża;PE;d40;d40;;Elektrooporowe;
928.;Złączka węża;PE;d50;d50;;Elektrooporowe;
929.;Złączka węża;PE;d63;d63;;Elektrooporowe;
930.;Redukcja krótka;PE;d16;d12;;Elektrooporowe;
931.;Redukcja krótka;PE;d20;d10;;Elektrooporowe;
932.;Redukcja krótka;PE;d20;d12;;Elektrooporowe;
933.;Redukcja krótka;PE;d20;d16;;Elektrooporowe;
934.;Redukcja krótka;PE;d25;d12;;Elektrooporowe;
935.;Redukcja krótka;PE;d25;d16;;Elektrooporowe;
936.;Redukcja krótka;PE;d25;d20;;Elektrooporowe;
937.;Redukcja krótka;PE;d32;d16;;Elektrooporowe;
938.;Redukcja krótka;PE;d32;d20;;Elektrooporowe;
939.;Redukcja krótka;PE;d32;d25;;Elektrooporowe;
940.;Redukcja krótka;PE;d40;d16;;Elektrooporowe;
941.;Redukcja krótka;PE;d40;d20;;Elektrooporowe;
942.;Redukcja krótka;PE;d40;d25;;Elektrooporowe;
943.;Redukcja krótka;PE;d40;d32;;Elektrooporowe;
944.;Redukcja krótka;PE;d50;d20;;Elektrooporowe;
945.;Redukcja krótka;PE;d50;d25;;Elektrooporowe;
946.;Redukcja krótka;PE;d50;d32;;Elektrooporowe;
947.;Redukcja krótka;PE;d50;d40;;Elektrooporowe;
948.;Redukcja krótka;PE;d63;d32;;Elektrooporowe;
949.;Redukcja krótka;PE;d63;d40;;Elektrooporowe;
950.;Redukcja krótka;PE;d63;d50;;Elektrooporowe;
951.;Redukcja krótka;PE;d75;d32;;Elektrooporowe;
952.;Redukcja krótka;PE;d75;d40;;Elektrooporowe;
953.;Redukcja krótka;PE;d75;d50;;Elektrooporowe;
954.;Redukcja krótka;PE;d75;d63;;Elektrooporowe;
955.;Redukcja krótka;PE;d90;d50;;Elektrooporowe;
956.;Redukcja krótka;PE;d90;d63;;Elektrooporowe;
957.;Redukcja krótka;PE;d90;d75;;Elektrooporowe;
958.;Redukcja krótka;PE;d110;d50;;Elektrooporowe;
959.;Redukcja krótka;PE;d110;d63;;Elektrooporowe;
960.;Redukcja krótka;PE;d110;d75;;Elektrooporowe;
961.;Redukcja krótka;PE;d110;d90;;Elektrooporowe;
962.;Redukcja krótka;PE;d125;d75;;Elektrooporowe;
963.;Redukcja krótka;PE;d125;d90;;Elektrooporowe;
964.;Redukcja krótka;PE;d125;d110;;Elektrooporowe;
965.;Redukcja krótka;PE;d140;d75;;Elektrooporowe;
966.;Redukcja krótka;PE;d140;d90;;Elektrooporowe;
967.;Redukcja krótka;PE;d140;d110;;Elektrooporowe;
968.;Redukcja krótka;PE;d140;d125;;Elektrooporowe;
969.;Redukcja krótka;PE;d160;d90;;Elektrooporowe;
970.;Redukcja krótka;PE;d160;d110;;Elektrooporowe;
971.;Redukcja krótka;PE;d160;d125;;Elektrooporowe;
972.;Redukcja krótka;PE;d160;d140;;Elektrooporowe;
973.;Redukcja krótka;PE;d200;d110;;Elektrooporowe;
974.;Redukcja krótka;PE;d200;d125;;Elektrooporowe;
975.;Redukcja krótka;PE;d200;d140;;Elektrooporowe;
976.;Redukcja krótka;PE;d200;d160;;Elektrooporowe;
977.;Redukcja długa;PE;d12;d16;d8;Elektrooporowe;
978.;Redukcja długa;PE;d20;d25;d16;Elektrooporowe;
979.;Redukcja długa;PE;d20;d25;d20;Elektrooporowe;
980.;Redukcja długa;PE;d25;d32;d16;Elektrooporowe;
981.;Redukcja długa;PE;d25;d32;d20;Elektrooporowe;
982.;Redukcja długa;PE;d25;d32;d25;Elektrooporowe;
983.;Redukcja długa;PE;d32;d40;d16;Elektrooporowe;
984.;Redukcja długa;PE;d32;d40;d20;Elektrooporowe;
985.;Redukcja długa;PE;d32;d40;d25;Elektrooporowe;
986.;Redukcja długa;PE;d32;d40;d32;Elektrooporowe;
987.;Redukcja długa;PE;d40;d50;d20;Elektrooporowe;
988.;Redukcja długa;PE;d40;d50;d25;Elektrooporowe;
989.;Redukcja długa;PE;d40;d50;d32;Elektrooporowe;
990.;Redukcja długa;PE;d40;d50;d40;Elektrooporowe;
991.;Redukcja długa;PE;d50;d63;d32;Elektrooporowe;
992.;Redukcja długa;PE;d50;d63;d40;Elektrooporowe;
993.;Redukcja długa;PE;d50;d63;d50;Elektrooporowe;
994.;Redukcja długa;PE;d50;d63;d63;Elektrooporowe;
995.;Redukcja długa;PE;d63;d75;d32;Elektrooporowe;
996.;Redukcja długa;PE;d63;d75;d40;Elektrooporowe;
997.;Redukcja długa;PE;d63;d75;d50;Elektrooporowe;
998.;Redukcja długa;PE;d63;d75;d63;Elektrooporowe;
999.;Redukcja długa;PE;d75;d90;d40;Elektrooporowe;
1000.;Redukcja długa;PE;d75;d90;d50;Elektrooporowe;
1001.;Redukcja długa;PE;d75;d90;d63;Elektrooporowe;
1002.;Redukcja długa;PE;d75;d90;d75;Elektrooporowe;
1003.;Redukcja długa;PE;d90;d110;d50;Elektrooporowe;
1004.;Redukcja długa;PE;d90;d110;d63;Elektrooporowe;
1005.;Redukcja długa;PE;d90;d110;d75;Elektrooporowe;
1006.;Redukcja długa;PE;d90;d110;d90;Elektrooporowe;
1007.;Redukcja długa;PE;d110;d125;d63;Elektrooporowe;
1008.;Redukcja długa;PE;d110;d125;d75;Elektrooporowe;
1009.;Redukcja długa;PE;d110;d125;d90;Elektrooporowe;
1010.;Redukcja długa;PE;d110;d125;d110;Elektrooporowe;
